Date	P	D	E	CPI	Datef	GS10	RealP	RealD	Rtotr	RealE	RealTRE	PE10
1981.12	123.80	6.63	15.36	94.00	1981.96	13.72	427.60	22.90	103514.76	53.05	12843.19	7.83
1982.01	117.30	6.66	15.18	94.30	1982.04	14.59	403.86	22.93	98230.37	52.25	12709.40	7.39
1982.02	114.50	6.69	14.99	94.60	1982.12	14.43	392.97	22.96	96046.88	51.46	12576.94	7.18
1982.03	110.80	6.72	14.81	94.50	1982.21	13.86	380.67	23.09	93511.78	50.88	12499.18	6.95
1982.04	116.30	6.75	14.60	94.90	1982.29	13.87	397.89	23.09	98212.63	49.94	12326.57	7.26
1982.05	116.40	6.78	14.38	95.80	1982.37	13.62	394.49	22.98	97846.27	48.75	12090.65	7.19
1982.06	109.70	6.81	14.17	97.00	1982.46	14.30	367.18	22.79	91544.57	47.43	11824.85	6.69
1982.07	109.40	6.82	13.97	97.50	1982.54	13.95	364.30	22.72	91298.11	46.51	11655.70	6.64
1982.08	109.70	6.84	13.76	97.70	1982.62	13.06	364.55	22.72	91835.55	45.74	11521.97	6.64
1982.09	122.40	6.85	13.56	97.90	1982.71	12.34	405.92	22.72	102734.94	44.97	11381.42	7.40
1982.10	132.70	6.86	13.25	98.20	1982.79	10.91	438.74	22.67	111517.98	43.82	11137.76	8.00
1982.11	138.10	6.86	12.95	98.00	1982.87	10.55	457.52	22.74	116774.49	42.89	10947.46	8.35
1982.12	139.40	6.87	12.64	97.60	1982.96	10.54	463.72	22.85	118842.91	42.05	10776.00	8.47
1983.01	144.30	6.88	12.57	97.80	1983.04	10.46	479.04	22.85	123256.76	41.72	10734.10	8.76
1983.02	146.80	6.90	12.49	97.90	1983.12	10.72	486.84	22.87	125754.52	41.43	10702.24	8.91
1983.03	151.90	6.91	12.42	97.90	1983.21	10.51	503.76	22.92	130616.65	41.19	10679.78	9.23
1983.04	157.70	6.92	12.48	98.60	1983.29	10.40	519.28	22.79	135133.63	41.08	10691.32	9.53
1983.05	164.10	6.93	12.53	99.20	1983.37	10.38	537.08	22.68	140259.17	41.02	10712.43	9.87
1983.06	166.40	6.94	12.59	99.50	1983.46	10.85	542.97	22.65	142289.02	41.08	10765.74	10.00
1983.07	167.00	6.96	12.83	99.90	1983.54	11.38	542.74	22.62	142724.28	41.69	10962.16	10.01
1983.08	162.40	6.98	13.06	100.20	1983.62	11.85	526.21	22.62	138873.03	42.33	11170.81	9.73
1983.09	167.20	7.00	13.30	100.70	1983.71	11.65	539.08	22.57	142764.08	42.88	11356.23	9.98
1983.10	167.70	7.03	13.54	101.00	1983.79	11.54	539.08	22.60	143264.41	43.54	11569.90	10.00
1983.11	165.20	7.06	13.79	101.20	1983.87	11.69	530.00	22.65	141351.39	44.23	11796.42	9.85
1983.12	164.40	7.09	14.03	101.30	1983.96	11.83	526.91	22.72	141033.06	44.97	12035.85	9.82
1984.01	166.40	7.12	14.44	101.90	1984.04	11.67	530.18	22.69	142414.27	46.01	12358.55	9.89
1984.02	157.30	7.15	14.85	102.40	1984.12	11.84	498.74	22.67	134476.09	47.08	12695.30	9.32
1984.03	157.40	7.18	15.26	102.60	1984.21	12.32	498.08	22.72	134809.80	48.29	13069.87	9.33
1984.04	157.60	7.22	15.57	103.10	1984.29	12.63	496.30	22.75	134839.54	49.04	13324.22	9.31
1984.05	156.60	7.27	15.89	103.40	1984.37	13.41	491.72	22.82	134111.82	49.88	13605.33	9.23
1984.06	153.10	7.31	16.20	103.70	1984.46	13.56	479.34	22.89	131255.30	50.72	13888.54	9.01
1984.07	151.10	7.33	16.32	104.10	1984.54	13.36	471.26	22.87	129564.81	50.90	13994.03	8.87
1984.08	164.40	7.36	16.44	104.50	1984.62	12.72	510.78	22.86	140953.33	51.08	14095.33	9.62
1984.09	166.10	7.38	16.56	105.00	1984.71	12.52	513.60	22.82	142257.51	51.21	14182.93	9.69
1984.10	164.80	7.43	16.59	105.30	1984.79	12.16	508.13	22.91	141270.78	51.14	14218.54	9.60
1984.11	166.30	7.48	16.61	105.30	1984.87	11.57	512.75	23.06	143090.95	51.22	14294.73	9.69
1984.12	164.50	7.53	16.64	105.30	1984.96	11.50	507.20	23.22	142082.09	51.31	14372.32	9.60
1985.01	171.60	7.57	16.56	105.50	1985.04	11.38	528.09	23.31	148477.60	50.95	14325.75	10.00
1985.02	180.90	7.62	16.47	106.00	1985.12	11.51	554.09	23.33	156332.75	50.46	14236.13	10.49
1985.03	179.40	7.66	16.39	106.40	1985.21	11.86	547.43	23.37	155003.18	50.01	14161.10	10.37
1985.04	180.60	7.69	16.13	106.90	1985.29	11.43	548.51	23.35	155861.01	48.99	13920.48	10.40
1985.05	184.90	7.71	15.87	107.30	1985.37	10.85	559.48	23.34	159529.78	48.02	13692.47	10.61
1985.06	188.90	7.74	15.61	107.60	1985.46	10.16	569.99	23.35	163081.48	47.10	13476.45	10.81
1985.07	192.50	7.77	15.48	107.80	1985.54	10.31	579.77	23.41	166439.31	46.63	13387.17	11.00
1985.08	188.30	7.81	15.36	108.00	1985.62	10.33	566.07	23.47	163067.85	46.17	13298.91	10.74
1985.09	184.10	7.84	15.23	108.30	1985.71	10.37	551.91	23.50	159553.24	45.66	13199.33	10.47
1985.10	186.20	7.86	15.02	108.70	1985.79	10.24	556.15	23.48	161344.98	44.87	13017.91	10.55
1985.11	197.50	7.88	14.82	109.00	1985.87	9.78	588.28	23.47	171233.02	44.13	12846.12	11.16
1985.12	207.30	7.90	14.61	109.30	1985.96	9.26	615.78	23.47	179805.55	43.40	12672.26	11.69
1986.01	208.20	7.94	14.58	109.60	1986.04	9.19	616.76	23.52	180664.21	43.19	12651.70	11.72
1986.02	219.40	7.98	14.55	109.30	1986.12	8.70	651.72	23.70	191484.13	43.22	12698.70	12.39
1986.03	232.30	8.02	14.52	108.80	1986.21	7.78	693.21	23.93	204260.46	43.33	12767.38	13.19
1986.04	238.00	8.05	14.58	108.60	1986.29	7.30	711.53	24.06	210248.55	43.60	12882.85	13.55
1986.05	238.50	8.07	14.65	108.90	1986.37	7.71	711.06	24.07	210702.53	43.67	12939.61	13.56
1986.06	245.30	8.10	14.71	109.50	1986.46	7.80	727.32	24.02	216115.59	43.62	12959.89	13.89
1986.07	240.20	8.14	14.76	109.50	1986.54	7.30	712.20	24.15	212220.23	43.75	13037.76	13.62
1986.08	245.00	8.19	14.80	109.70	1986.62	7.17	725.11	24.23	216668.12	43.81	13091.44	13.89
1986.09	238.30	8.23	14.85	110.20	1986.71	7.45	702.08	24.25	210390.50	43.75	13110.78	13.47
1986.10	237.40	8.25	14.73	110.30	1986.79	7.43	698.80	24.27	210012.06	43.35	13027.74	13.43
1986.11	245.10	8.26	14.60	110.40	1986.87	7.25	720.81	24.30	217235.96	42.95	12943.13	13.87
1986.12	248.60	8.28	14.48	110.50	1986.96	7.11	730.44	24.33	220749.67	42.55	12857.82	14.09
1987.01	264.50	8.30	14.69	111.20	1987.04	7.08	772.26	24.23	234000.24	42.88	12993.16	14.92
1987.02	280.90	8.32	14.89	111.60	1987.12	7.25	817.21	24.20	248229.61	43.33	13161.12	15.82
1987.03	292.50	8.34	15.10	112.10	1987.21	7.25	847.16	24.15	257938.99	43.73	13315.82	16.43
1987.04	289.30	8.40	14.87	112.70	1987.29	8.02	833.43	24.20	254372.89	42.85	13077.65	16.20
1987.05	289.10	8.46	14.65	113.10	1987.37	8.61	829.91	24.29	253915.71	42.05	12864.15	16.16
1987.06	301.40	8.52	14.42	113.50	1987.46	8.40	862.17	24.37	264407.23	41.25	12650.14	16.83
1987.07	310.10	8.57	14.90	113.80	1987.54	8.45	884.72	24.44	271946.89	42.51	13066.78	17.31
1987.08	329.40	8.61	15.38	114.40	1987.62	8.76	934.85	24.44	287983.41	43.65	13446.22	18.33
1987.09	318.70	8.66	15.86	115.00	1987.71	9.42	899.76	24.45	277802.68	44.78	13824.76	17.68
1987.10	280.20	8.71	16.41	115.30	1987.79	9.52	789.01	24.53	244238.76	46.20	14301.04	15.53
1987.11	245.00	8.76	16.95	115.40	1987.87	8.86	689.29	24.65	214007.07	47.70	14808.68	13.59
1987.12	241.00	8.81	17.50	115.40	1987.96	8.99	678.04	24.79	211154.37	49.24	15332.79	13.39
1988.01	250.50	8.86	17.86	115.70	1988.04	8.67	702.94	24.85	219553.78	50.13	15656.51	13.90
1988.02	258.10	8.90	18.23	116.00	1988.12	8.21	722.40	24.92	226278.46	51.01	15979.50	14.30
1988.03	265.70	8.95	18.59	116.50	1988.21	8.37	740.48	24.94	232592.76	51.81	16273.61	14.67
1988.04	262.60	9.04	19.62	117.10	1988.29	8.72	728.09	25.07	229357.50	54.39	17133.42	14.43
1988.05	256.10	9.14	20.64	117.50	1988.37	9.09	707.65	25.25	223581.61	57.04	18022.11	14.03
1988.06	270.70	9.23	21.67	118.00	1988.46	8.92	744.82	25.40	235995.04	59.62	18891.81	14.77
1988.07	269.10	9.31	22.02	118.50	1988.54	9.06	737.29	25.50	234283.57	60.34	19173.90	14.61
1988.08	263.70	9.38	22.38	119.00	1988.62	9.26	719.46	25.60	229295.51	61.05	19457.25	14.24
1988.09	268.00	9.46	22.73	119.80	1988.71	8.98	726.31	25.64	232159.24	61.60	19690.22	14.37
1988.10	277.40	9.55	23.07	120.20	1988.79	8.80	749.28	25.80	240189.57	62.32	19978.25	14.81
1988.11	271.00	9.64	23.42	120.30	1988.87	8.96	731.39	26.02	235148.01	63.20	20318.78	14.45
1988.12	276.50	9.75	23.75	120.50	1988.96	9.11	744.99	26.27	240226.02	63.99	20634.24	14.70
1989.01	285.40	9.81	24.16	121.10	1989.04	9.09	765.16	26.31	247436.88	64.77	20946.30	15.09
1989.02	294.00	9.90	24.56	121.60	1989.12	9.17	784.98	26.42	254556.93	65.58	21265.03	15.47
1989.03	292.70	10.01	24.96	122.30	1989.21	9.36	777.04	26.57	252698.91	66.26	21548.91	15.30
1989.04	302.30	10.09	25.05	123.10	1989.29	9.18	797.31	26.60	260011.82	66.06	21542.96	15.69
1989.05	313.90	10.19	25.13	123.80	1989.37	8.86	823.22	26.73	269189.01	65.91	21553.39	16.19
1989.06	323.70	10.37	25.22	124.10	1989.46	8.28	846.87	27.13	277661.36	65.98	21633.05	16.64
1989.07	331.90	10.42	24.71	124.40	1989.54	8.02	866.23	27.20	284751.81	64.49	21199.81	17.01
1989.08	346.60	10.55	24.20	124.60	1989.62	8.11	903.14	27.48	297639.12	63.06	20781.50	17.73
1989.09	347.30	10.73	23.69	125.00	1989.71	8.19	902.07	27.87	298051.27	61.53	20330.65	17.71
1989.10	347.40	10.80	23.43	125.60	1989.79	8.01	898.02	27.91	297481.32	60.56	20060.46	17.64
1989.11	340.20	10.92	23.16	125.90	1989.87	7.87	877.31	28.17	291399.36	59.73	19840.60	17.24
1989.12	348.60	11.06	22.87	126.10	1989.96	7.84	897.55	28.48	298909.02	58.88	19610.01	17.65
1990.01	339.97	11.14	22.49	127.40	1990.04	8.21	866.40	28.39	289322.48	57.31	19139.52	17.05
1990.02	330.45	11.23	22.08	128.00	1990.12	8.47	838.19	28.48	280695.20	56.01	18755.48	16.51
1990.03	338.46	11.32	21.67	128.70	1990.21	8.59	853.83	28.56	286732.39	54.67	18358.12	16.83
1990.04	338.18	11.44	21.53	128.90	1990.29	8.79	851.80	28.81	286856.81	54.24	18265.34	16.81
1990.05	350.25	11.55	21.40	129.20	1990.37	8.76	880.16	29.03	297219.94	53.77	18157.10	17.39
1990.06	360.39	11.66	21.26	129.90	1990.46	8.48	900.76	29.14	304996.77	53.14	17992.26	17.82
1990.07	360.03	11.73	21.42	130.40	1990.54	8.47	896.41	29.20	304347.66	53.33	18107.18	17.75
1990.08	330.75	11.78	21.58	131.60	1990.62	8.75	816.00	29.07	277869.11	53.24	18129.75	16.17
1990.09	315.41	11.83	21.74	132.70	1990.71	8.89	771.70	28.94	263606.51	53.19	18169.38	15.30
1990.10	307.12	11.93	21.61	133.50	1990.79	8.72	746.92	29.01	255965.61	52.55	18007.85	14.82
1990.11	315.29	12.01	21.47	133.80	1990.87	8.39	765.07	29.15	263018.11	52.11	17913.24	15.19
1990.12	328.75	12.09	21.34	133.80	1990.96	8.08	797.73	29.34	275087.05	51.78	17856.60	15.85
1991.01	325.49	12.11	21.18	134.60	1991.04	8.09	785.12	29.20	271579.60	51.10	17674.74	15.61
1991.02	362.26	12.11	21.03	134.80	1991.12	7.85	872.52	29.18	302651.98	50.64	17566.86	17.35
1991.03	372.28	12.11	20.94	135.00	1991.21	8.11	895.33	29.12	311404.33	50.36	17515.87	17.82
1991.04	379.68	12.13	20.36	135.20	1991.29	8.04	911.77	29.13	317968.75	48.90	17053.55	18.16
1991.05	377.99	12.14	19.86	135.60	1991.37	8.07	905.04	29.07	316464.39	47.54	16624.62	18.04
1991.06	378.29	12.15	19.41	136.00	1991.46	8.28	903.09	29.01	316629.24	46.34	16246.20	18.02
1991.07	380.23	12.19	18.84	136.20	1991.54	8.27	906.39	29.07	318634.93	44.91	15788.03	18.10
1991.08	389.40	12.24	18.33	136.60	1991.62	7.90	925.53	29.08	326215.93	43.57	15355.77	18.51
1991.09	387.20	12.28	17.82	137.20	1991.71	7.65	916.28	29.06	323807.90	42.17	14902.52	18.36
1991.10	386.88	12.25	17.20	137.40	1991.79	7.53	914.19	28.95	323922.03	40.65	14403.76	18.35
1991.11	385.92	12.23	16.59	137.80	1991.87	7.42	909.27	28.81	323030.93	39.08	13883.75	18.29
1991.12	388.51	12.20	15.97	137.90	1991.96	7.09	914.71	28.72	325813.42	37.60	13392.81	18.44
1992.01	416.08	12.24	16.05	138.10	1992.04	7.03	978.20	28.78	349283.07	37.73	13470.58	19.77
1992.02	412.56	12.28	16.12	138.60	1992.12	7.34	966.43	28.77	345934.74	37.77	13519.51	19.58
1992.03	407.36	12.32	16.19	139.30	1992.21	7.54	949.45	28.71	340714.59	37.73	13541.26	19.28
1992.04	407.41	12.32	16.48	139.50	1992.29	7.48	948.21	28.67	341125.34	38.36	13801.51	19.30
1992.05	414.81	12.32	16.77	139.70	1992.37	7.39	964.05	28.63	347682.53	38.97	14053.39	19.66
1992.06	408.27	12.32	17.05	140.20	1992.46	7.26	945.46	28.53	341837.94	39.48	14275.69	19.32
1992.07	415.05	12.34	17.38	140.50	1992.54	6.84	959.11	28.52	347632.10	40.16	14556.91	19.62
1992.08	417.93	12.37	17.71	140.90	1992.62	6.59	963.02	28.50	349911.26	40.81	14827.67	19.72
1992.09	418.48	12.40	18.04	141.30	1992.71	6.42	961.56	28.49	350242.60	41.45	15098.40	19.71
1992.10	412.50	12.39	18.39	141.80	1992.79	6.59	944.48	28.36	344881.23	42.11	15375.43	19.37
1992.11	422.84	12.38	18.74	142.00	1992.87	6.87	966.79	28.31	353889.89	42.85	15684.17	19.83
1992.12	435.64	12.39	19.09	141.90	1992.96	6.77	996.76	28.35	365724.36	43.68	16026.26	20.45
1993.01	435.23	12.41	19.34	142.60	1993.04	6.60	990.93	28.26	364450.73	44.03	16194.83	20.32
1993.02	441.70	12.45	19.59	143.10	1993.12	6.26	1002.15	28.24	369441.71	44.45	16385.25	20.55
1993.03	450.16	12.48	19.84	143.60	1993.21	5.98	1017.79	28.22	376073.57	44.86	16574.77	20.86
1993.04	443.08	12.49	19.67	144.00	1993.29	5.97	999.00	28.17	369997.91	44.35	16425.61	20.46
1993.05	445.25	12.51	19.50	144.20	1993.37	6.04	1002.50	28.16	372163.42	43.91	16299.13	20.52
1993.06	448.06	12.52	19.33	144.40	1993.46	5.96	1007.43	28.15	374864.31	43.46	16172.23	20.61
1993.07	447.29	12.52	19.69	144.40	1993.54	5.81	1005.70	28.15	375092.99	44.27	16511.84	20.56
1993.08	454.13	12.52	20.05	144.80	1993.62	5.68	1018.25	28.07	380649.45	44.96	16805.81	20.81
1993.09	459.24	12.52	20.41	145.10	1993.71	5.36	1027.58	28.01	385009.47	45.67	17110.97	20.99
1993.10	463.90	12.54	20.90	145.70	1993.79	5.33	1033.74	27.94	388187.14	46.57	17488.92	21.11
1993.11	462.89	12.56	21.39	145.80	1993.87	5.72	1030.78	27.97	387951.56	47.63	17927.12	21.04
1993.12	465.95	12.58	21.89	145.80	1993.96	5.77	1037.59	28.01	391394.78	48.75	18387.45	21.16
1994.01	472.99	12.62	22.16	146.20	1994.04	5.75	1050.39	28.03	397102.51	49.20	18601.83	21.41
1994.02	471.58	12.67	22.43	146.70	1994.12	5.97	1043.69	28.03	395452.50	49.65	18811.88	21.26
1994.03	463.81	12.71	22.71	147.20	1994.21	6.48	1023.00	28.03	388500.87	50.09	19022.56	20.83
1994.04	447.23	12.75	23.54	147.40	1994.29	6.97	985.10	28.09	374993.68	51.85	19737.83	20.06
1994.05	450.90	12.80	24.37	147.50	1994.37	7.18	992.51	28.17	378708.13	53.64	20468.21	20.20
1994.06	454.83	12.84	25.20	148.00	1994.46	7.10	997.77	28.17	381613.99	55.28	21143.44	20.29
1994.07	451.40	12.87	25.91	148.40	1994.54	7.30	987.58	28.16	378612.71	56.69	21732.07	20.07
1994.08	464.24	12.90	26.62	149.00	1994.62	7.24	1011.58	28.11	388712.34	58.01	22289.17	20.54
1994.09	466.96	12.92	27.33	149.40	1994.71	7.46	1014.78	28.08	390842.08	59.39	22875.01	20.58
1994.10	463.81	13.01	28.42	149.50	1994.79	7.74	1007.27	28.26	388852.94	61.72	23827.00	20.40
1994.11	461.01	13.10	29.51	149.70	1994.87	7.96	999.85	28.40	386902.87	64.00	24766.28	20.21
1994.12	455.19	13.17	30.60	149.70	1994.96	7.81	987.22	28.56	382939.51	66.37	25742.98	19.91
1995.01	465.25	13.18	31.25	150.30	1995.04	7.78	1005.01	28.47	390760.55	67.50	26246.68	20.22
1995.02	481.92	13.18	31.90	150.90	1995.12	7.47	1036.88	28.36	404071.01	68.64	26746.90	20.80
1995.03	493.15	13.17	32.55	151.40	1995.21	7.20	1057.54	28.24	413038.55	69.80	27262.30	21.15
1995.04	507.91	13.24	33.18	151.90	1995.29	7.06	1085.61	28.31	424921.83	70.91	27755.91	21.64
1995.05	523.81	13.31	33.80	152.20	1995.37	6.63	1117.39	28.39	438286.00	72.11	28284.14	22.20
1995.06	539.35	13.36	34.43	152.50	1995.46	6.17	1148.27	28.44	451330.68	73.30	28811.19	22.72
1995.07	557.37	13.44	34.68	152.50	1995.54	6.28	1186.64	28.61	467347.13	73.83	29078.71	23.38
1995.08	559.11	13.51	34.93	152.90	1995.62	6.49	1187.23	28.69	468521.18	74.17	29270.53	23.28
1995.09	578.77	13.58	35.18	153.20	1995.71	6.20	1226.57	28.78	484992.53	74.56	29479.82	23.95
1995.10	582.92	13.65	34.77	153.70	1995.79	6.04	1231.35	28.83	487831.16	73.45	29100.90	23.93
1995.11	595.53	13.72	34.37	153.60	1995.87	5.93	1258.80	29.00	499666.08	72.64	28834.61	24.35
1995.12	614.57	13.79	33.96	153.50	1995.96	5.71	1299.89	29.17	516941.89	71.83	28565.25	25.03
1996.01	614.42	13.89	33.99	154.40	1996.04	5.65	1292.00	29.21	514771.37	71.47	28474.63	24.76
1996.02	649.54	14.00	34.01	154.90	1996.12	5.81	1361.44	29.34	543412.96	71.29	28455.94	25.98
1996.03	647.07	14.10	34.04	155.70	1996.21	6.27	1349.30	29.40	539543.01	70.98	28383.40	25.63
1996.04	647.17	14.16	34.33	156.30	1996.29	6.51	1344.32	29.41	538534.80	71.31	28567.30	25.42
1996.05	661.23	14.21	34.62	156.60	1996.37	6.74	1370.90	29.47	550164.31	71.78	28804.94	25.81
1996.06	668.50	14.27	34.91	156.70	1996.46	6.91	1385.09	29.57	556847.01	72.33	29079.33	25.97
1996.07	644.07	14.40	35.27	157.00	1996.54	6.87	1331.92	29.78	536469.83	72.94	29380.44	24.86
1996.08	662.68	14.53	35.64	157.30	1996.62	6.64	1367.79	29.99	551924.70	73.56	29680.65	25.41
1996.09	674.88	14.66	36.00	157.80	1996.71	6.83	1388.56	30.16	561318.95	74.07	29942.33	25.68
1996.10	701.46	14.74	36.91	158.30	1996.79	6.53	1438.69	30.23	582602.00	75.70	30655.83	26.48
1996.11	735.67	14.82	37.82	158.60	1996.87	6.20	1506.00	30.34	610883.36	77.42	31404.85	27.59
1996.12	743.25	14.90	38.73	158.60	1996.96	6.30	1521.52	30.50	618208.67	79.28	32214.22	27.72
1997.01	766.22	14.95	39.23	159.10	1997.04	6.58	1563.61	30.51	636344.62	80.06	32583.20	28.33
1997.02	798.39	15.01	39.74	159.60	1997.12	6.42	1624.15	30.53	662019.84	80.84	32949.42	29.27
1997.03	792.16	15.06	40.24	160.00	1997.21	6.69	1607.45	30.56	656249.86	81.66	33336.06	28.80
1997.04	763.93	15.09	40.34	160.20	1997.29	6.89	1548.23	30.59	633113.84	81.76	33434.87	27.59
1997.05	833.09	15.13	40.45	160.10	1997.37	6.71	1689.45	30.68	691907.42	82.02	33592.25	29.93
1997.06	876.29	15.16	40.55	160.30	1997.46	6.49	1774.84	30.71	727926.27	82.13	33684.52	31.26
1997.07	925.29	15.22	40.58	160.50	1997.54	6.22	1871.75	30.78	768724.39	82.09	33713.58	32.77
1997.08	927.24	15.27	40.61	160.80	1997.62	6.30	1872.19	30.84	769962.67	82.00	33721.78	32.59
1997.09	937.02	15.33	40.64	161.20	1997.71	6.21	1887.25	30.88	777211.25	81.85	33708.85	32.67
1997.10	951.16	15.39	40.33	161.60	1997.79	6.03	1910.98	30.91	788047.76	81.03	33416.64	32.90
1997.11	938.92	15.44	40.03	161.50	1997.87	5.88	1887.56	31.05	779455.35	80.47	33228.63	32.34
1997.12	962.37	15.50	39.72	161.30	1997.96	5.81	1937.10	31.20	800986.87	79.95	33059.22	33.03
1998.01	963.36	15.55	39.66	161.60	1998.04	5.54	1935.50	31.24	801398.87	79.68	32992.32	32.86
1998.02	1023.74	15.60	39.60	161.90	1998.12	5.57	2052.99	31.28	851129.09	79.41	32923.12	34.71
1998.03	1076.83	15.64	39.54	162.20	1998.21	5.65	2155.47	31.31	894693.40	79.15	32852.15	36.30
1998.04	1112.20	15.75	39.35	162.50	1998.29	5.64	2222.16	31.47	923463.36	78.62	32672.44	37.28
1998.05	1108.42	15.85	39.16	162.80	1998.37	5.65	2210.52	31.61	919723.56	78.10	32493.44	36.96
1998.06	1108.39	15.95	38.97	163.00	1998.46	5.50	2207.75	31.77	919671.74	77.62	32334.83	36.80
1998.07	1156.58	16.02	38.68	163.20	1998.54	5.46	2300.91	31.86	959586.81	76.94	32089.13	38.26
1998.08	1074.62	16.08	38.38	163.40	1998.62	5.34	2135.24	31.96	891605.89	76.27	31846.40	35.42
1998.09	1020.64	16.14	38.09	163.60	1998.71	4.81	2025.51	32.03	846898.35	75.59	31606.01	33.53
1998.10	1032.47	16.17	37.96	164.00	1998.79	4.53	2043.99	32.01	855740.16	75.16	31465.05	33.77
1998.11	1144.43	16.18	37.84	164.00	1998.87	4.83	2265.64	32.04	949653.52	74.91	31397.08	37.37
1998.12	1190.05	16.20	37.71	163.90	1998.96	4.65	2357.39	32.09	989232.65	74.70	31346.55	38.82
1999.01	1248.77	16.28	37.93	164.30	1999.04	4.72	2467.69	32.18	1036641.85	74.96	31489.61	40.58
1999.02	1246.58	16.37	38.16	164.50	1999.12	5.00	2460.36	32.30	1034696.55	75.31	31671.11	40.40
1999.03	1281.66	16.45	38.38	165.00	1999.21	5.23	2521.93	32.37	1061724.64	75.52	31793.92	41.36
1999.04	1334.76	16.45	39.26	166.20	1999.29	5.18	2607.46	32.14	1098856.49	76.69	32321.25	42.70
1999.05	1332.07	16.45	40.14	166.20	1999.37	5.54	2602.20	32.14	1097770.47	78.41	33079.72	42.56
1999.06	1322.55	16.45	41.02	166.20	1999.46	5.90	2583.60	32.14	1091054.67	80.13	33839.98	42.18
1999.07	1380.99	16.51	42.00	166.70	1999.54	5.79	2689.67	32.16	1136980.22	81.80	34578.94	43.83
1999.08	1327.49	16.58	42.98	167.10	1999.62	5.94	2579.29	32.21	1091451.59	83.51	35337.81	41.93
1999.09	1318.17	16.64	43.96	167.90	1999.71	5.92	2548.97	32.18	1079759.46	85.01	36009.18	41.32
1999.10	1300.01	16.66	45.36	168.20	1999.79	6.11	2509.37	32.15	1064119.63	87.56	37132.03	40.55
1999.11	1391.00	16.67	46.77	168.30	1999.87	6.03	2683.42	32.16	1139059.36	90.22	38296.20	43.21
1999.12	1428.68	16.69	48.17	168.30	1999.96	6.28	2756.10	32.20	1171053.61	92.93	39483.76	44.20
2000.01	1425.59	16.71	49.10	168.80	2000.04	6.66	2742.00	32.15	1166197.80	94.43	40163.32	43.77
2000.02	1388.87	16.74	50.02	169.80	2000.12	6.52	2655.64	32.00	1130602.23	95.65	40721.23	42.19
2000.03	1442.21	16.76	50.95	171.20	2000.21	6.26	2735.08	31.78	1165550.36	96.62	41176.24	43.22
2000.04	1461.36	16.74	51.27	171.30	2000.29	5.99	2769.78	31.73	1181464.10	97.18	41452.90	43.53
2000.05	1418.48	16.72	51.60	171.50	2000.37	6.44	2685.37	31.65	1146584.74	97.68	41706.58	41.97
2000.06	1461.96	16.70	51.92	172.40	2000.46	6.10	2753.23	31.45	1176680.37	97.78	41788.59	42.78
2000.07	1473.00	16.58	52.51	172.80	2000.54	6.05	2767.60	31.16	1183931.42	98.67	42207.87	42.76
2000.08	1485.46	16.47	53.11	172.80	2000.62	5.83	2791.01	30.94	1195049.14	99.78	42724.19	42.87
2000.09	1468.05	16.35	53.70	173.70	2000.71	5.80	2744.01	30.56	1176013.89	100.37	43017.57	41.90
2000.10	1390.14	16.32	52.47	174.00	2000.79	5.74	2593.91	30.46	1112770.16	97.90	41998.17	39.37
2000.11	1378.04	16.30	51.23	174.10	2000.87	5.72	2569.85	30.39	1103537.30	95.54	41027.76	38.78
2000.12	1330.93	16.27	50.00	174.00	2000.96	5.24	2483.42	30.36	1067510.43	93.30	40103.93	37.27
2001.01	1335.63	16.17	48.48	175.10	2001.04	5.16	2476.54	29.98	1065624.29	89.89	38679.47	36.98
2001.02	1305.75	16.07	46.96	175.80	2001.12	5.10	2411.49	29.68	1038700.73	86.73	37355.84	35.83
2001.03	1185.85	15.97	45.44	176.20	2001.21	4.89	2185.09	29.43	942237.20	83.73	36105.12	32.33
2001.04	1189.84	15.88	42.56	176.90	2001.29	5.14	2183.76	29.14	942713.61	78.11	33717.77	32.17
2001.05	1270.37	15.78	39.67	177.70	2001.37	5.39	2321.07	28.84	1003023.85	72.49	31324.18	34.07
2001.06	1238.71	15.69	36.79	178.00	2001.46	5.28	2259.41	28.62	977408.86	67.10	29029.29	33.07
2001.07	1204.45	15.71	33.96	177.50	2001.54	5.24	2203.11	28.73	954088.68	62.12	26903.59	32.16
2001.08	1178.50	15.72	31.14	177.50	2001.62	4.97	2155.64	28.76	934570.66	56.95	24691.91	31.40
2001.09	1044.64	15.74	28.31	178.30	2001.71	4.73	1902.22	28.66	825735.94	51.55	22377.65	27.67
2001.10	1076.59	15.74	27.10	177.70	2001.79	4.57	1967.02	28.76	854904.48	49.52	21522.36	28.58
2001.11	1129.68	15.74	25.90	177.40	2001.87	4.65	2067.51	28.81	899622.83	47.40	20622.86	30.01
2001.12	1144.93	15.74	24.69	176.70	2001.96	5.09	2103.72	28.92	916427.87	45.37	19762.43	30.50
2002.01	1140.21	15.74	24.69	177.10	2002.04	5.04	2090.31	28.85	911635.84	45.27	19743.14	30.28
2002.02	1100.67	15.73	24.70	177.80	2002.12	4.91	2009.88	28.73	877601.79	45.10	19691.50	29.09
2002.03	1153.79	15.73	24.70	178.80	2002.21	5.28	2095.10	28.56	915850.34	44.85	19606.26	30.29
2002.04	1111.93	15.83	25.38	179.80	2002.29	5.21	2007.86	28.59	878755.50	45.83	20057.75	29.01
